COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
21067,40555,0.004859791,0.025658248,0.000311333,0.006492750
21067,40503,0.088859046,0.138164965,0.082814446,0.092907471
21067,40533,0.003895810,0.012358947,0.000311333,0.004495429
21067,40575,0.000565092,0.002350887,0.000311333,0.000710418
21067,40517,0.120072066,0.043659323,0.115504359,0.113276655
21067,40513,0.030382002,0.028479312,0.013231631,0.029575496
21067,40504,0.088433565,0.077713595,0.106475716,0.088179118
21067,40511,0.091006396,0.082213864,0.073007472,0.089570838
21067,40509,0.121674268,0.121574422,0.091531756,0.120538054
21067,40506,0.000000000,0.000201505,0.000155666,0.000023292
21067,40582,0.000345703,0.001343364,0.000311333,0.000430909
21069,41081,0.000000000,0.000000000,0.008403361,0.000120700
21069,41037,0.000000000,0.000000000,0.008403361,0.000120700
21069,41055,0.002978889,0.000000000,0.000000000,0.002776101
21069,41065,0.000000000,0.000000000,0.008403361,0.000120700
21069,40351,0.007771014,0.000000000,0.000000000,0.007242004
21069,41049,0.155031732,0.035955056,0.050420168,0.147133374
21069,41039,0.176661054,0.076404494,0.033613445,0.169221485
21069,41093,0.184432068,0.062921348,0.067226891,0.176222088
21069,41056,0.001295169,0.000000000,0.000000000,0.001207001
21069,41041,0.471830074,0.824719101,0.823529412,0.495835848
21071,41606,0.016166884,0.005567929,0.005671078,0.015268086
21071,41653,0.356844850,0.796213808,0.620037807,0.388680146
21071,41631,0.022033898,0.017817372,0.001890359,0.021172541
21071,41669,0.008930900,0.001113586,0.003780718,0.008349735
21071,41636,0.022359844,0.007795100,0.020793951,0.021530387
21071,41615,0.016036506,0.000000000,0.001890359,0.014731317
21071,41642,0.017601043,0.023385301,0.039697543,0.018607980
21071,41612,0.004954368,0.001113586,0.005671078,0.004771277
21071,41607,0.008279009,0.001113586,0.005671078,0.007812966
21071,41602,0.014471969,0.004454343,0.001890359,0.013538498
21071,41655,0.022685789,0.000000000,0.005671078,0.020933977
21071,41640,0.027314211,0.006681514,0.013232514,0.025764895
21071,41603,0.040547588,0.003340757,0.011342155,0.037633447
21071,41621,0.008409387,0.000000000,0.001890359,0.007753325
21071,41666,0.015840939,0.001113586,0.005671078,0.014731317
21071,41616,0.016036506,0.002227171,0.001890359,0.014850599
21071,41659,0.004498044,0.004454343,0.000000000,0.004353790
21071,41605,0.013363755,0.007795100,0.005671078,0.012822807
21071,41643,0.003324641,0.004454343,0.001890359,0.003339894
21071,41622,0.008018253,0.004454343,0.005671078,0.007753325
21071,41601,0.015971317,0.037861915,0.011342155,0.016997674
21071,41663,0.009191656,0.000000000,0.001890359,0.008469017
21071,41645,0.035528031,0.004454343,0.054820416,0.034472476
21071,41651,0.011734029,0.000000000,0.043478261,0.012107115
21071,41650,0.018448501,0.000000000,0.003780718,0.016997674
21071,41667,0.010495437,0.000000000,0.003780718,0.009721477
21071,41604,0.017731421,0.006681514,0.000000000,0.016580187
21071,41649,0.060039113,0.026726058,0.051039698,0.057971014
21071,41630,0.009843546,0.001113586,0.003780718,0.009184708
21071,41647,0.023011734,0.004454343,0.003780718,0.021411105
21071,41635,0.081355932,0.022271715,0.047258979,0.077115763
21071,41216,0.030964798,0.002227171,0.007561437,0.028687302
21071,41619,0.012320730,0.001113586,0.005671078,0.011510706
21071,41660,0.015645372,0.000000000,0.001890359,0.014373472
21073,40604,0.026162146,0.058128393,0.001818182,0.028504777
21073,40379,0.001847609,0.000319387,0.000000000,0.001629757
21073,40342,0.000147809,0.000000000,0.000000000,0.000127824
21073,40347,0.001367231,0.000958160,0.000000000,0.001278241
21073,40003,0.000923805,0.000319387,0.000909091,0.000862813
21073,40076,0.002734462,0.000000000,0.000000000,0.002364746
21073,40601,0.910575715,0.797189396,0.995454545,0.902214553
21073,40602,0.056241224,0.143085276,0.001818182,0.063017288
21075,42041,0.533856437,0.574879227,0.596153846,0.539782773
21075,42050,0.466143563,0.425120773,0.403846154,0.460217227
21077,41046,0.177624602,0.150793651,0.058823529,0.175737538
21077,41095,0.437698834,0.476190476,0.823529412,0.442268566
21077,41086,0.150318134,0.190476190,0.000000000,0.150305188
21077,41035,0.001325557,0.000000000,0.000000000,0.001271617
21077,41092,0.139448568,0.079365079,0.088235294,0.137080366
21077,41030,0.004506893,0.000000000,0.000000000,0.004323499
21077,41083,0.045864263,0.047619048,0.029411765,0.045778230
21077,41045,0.043213150,0.055555556,0.000000000,0.043234995
21079,40419,0.032370954,0.037406484,0.272727273,0.036020181
21079,40410,0.000000000,0.000000000,0.008264463,0.000117330
21079,40444,0.835145607,0.912718204,0.694214876,0.836794556
21079,40461,0.073990751,0.044887781,0.008264463,0.071688373
21079,40484,0.002999625,0.000000000,0.000000000,0.002815910
21079,40403,0.055493063,0.004987531,0.016528926,0.052563651
21081,41046,0.009366057,0.001798561,0.000000000,0.008667303
21081,41030,0.184719452,0.097122302,0.496932515,0.192986641
21081,41097,0.269621022,0.419064748,0.171779141,0.272423664
21081,41003,0.009105888,0.003597122,0.000000000,0.008508270
21081,41052,0.010059839,0.000000000,0.002044990,0.009303435
21081,41010,0.073801058,0.023381295,0.020449898,0.069497455
21081,41092,0.004509583,0.000000000,0.000000000,0.004134860
21081,41035,0.438730379,0.455035971,0.308793456,0.434398855
21081,41040,0.000086723,0.000000000,0.000000000,0.000079517
21083,42049,0.000229978,0.000000000,0.000000000,0.000212574
21083,42025,0.002644742,0.000877193,0.000000000,0.002497741
21083,42082,0.041683436,0.025438596,0.003521127,0.040123293
21083,42063,0.000000000,0.000000000,0.003521127,0.000053143
21083,42039,0.032599322,0.010526316,0.024647887,0.031142052
21083,42051,0.078479848,0.028947368,0.003521127,0.074347664
21083,42088,0.061576496,0.011403509,0.123239437,0.059467503
21083,42061,0.000000000,0.000000000,0.003521127,0.000053143
21083,42069,0.021905364,0.008771930,0.000000000,0.020779083
21083,42066,0.617374806,0.864035088,0.760563380,0.634479460
21083,42079,0.036853907,0.015789474,0.003521127,0.035074667
21083,42040,0.018800667,0.010526316,0.042253521,0.018653345
21083,42035,0.004944518,0.000877193,0.021126761,0.004942339
21083,42027,0.045995515,0.011403509,0.007042254,0.043311899
21083,42041,0.015178520,0.005263158,0.000000000,0.014348727
